Text,context,tag,django,status,Replacement quality,Replacement strings (separated by |),Comment
Canned Responses,BE,not needed,,not needed,,,For comment replies?
Bad Token,,not needed,,not needed,,,Can occur during password reset?
%(time_period)s ago,FE,not needed,,not needed,ok,Use ISO format/dates for locales that are not in django,"Internally used by django, available for https://github.com/django/django/tree/main/django/contrib/humanize/locale/"
Home Page Banner,BE,not needed,,not needed,,,
Home Page Banners,BE,not needed,,not needed,,,
Username,FE,translate,,has translation,,,
Level,BE,not needed,,not needed,,,
Status,BE,not needed,,not needed,,,
Last Login,BE,not needed,,not needed,,,
Admin,BE,not needed,,not needed,,,
Active,BE,not needed,,not needed,,,
Inactive,BE,not needed,,not needed,,,
Image to display as the banner,BE,not needed,,not needed,,,
Background image,BE,not needed,,unused,,,
Optional page to which the banner will link to,BE,not needed,,not needed,,,
The title for a button,BE,not needed,,unused,,,
Icon Button,BE,not needed,,unused,,,
"When selecting this option, untranslated pages will not be visible to the front end user when viewing a child language of the site",BE,not needed,,not needed,,,
Facebook Analytics App ID,BE,not needed,,not needed,,,
The tracking ID to be used to view Facebook Analytics,BE,not needed,,not needed,,,
Local GA Tag Manager,BE,not needed,,not needed,,,
Local GA Tag Manager tracking code (e.g GTM-XXX) to be used to view analytics on this site only,BE,not needed,,not needed,,,
Global GA Tag Manager,BE,not needed,,not needed,,,
Global GA Tag Manager tracking code (e.g GTM-XXX) to be used to view analytics on more than one site globally,BE,not needed,,not needed,,,
Local GA Tracking Code,BE,not needed,,not needed,,,
Local GA tracking code to be used to view analytics on this site only,BE,not needed,,not needed,,,
Global GA Tracking Code,BE,not needed,,not needed,,,
Global GA tracking code to be used to view analytics on more than one site globally,BE,not needed,,not needed,,,
Show warning if uploaded media file size is greater than this in bytes. Default is 9 MB,BE,not needed,,not needed,,,
Site Settings,BE,not needed,,not needed,,,
Prompt users to download?,BE,not needed,,unused,,,
check to prompt first time users to download the website as an app,BE,not needed,,unused,,,
Name,BE,not needed,,not needed,,,
Provide name,BE,not needed,,unused,,,
Short name,BE,not needed,,not needed,,,
Provide short name,BE,not needed,,unused,,,
Scope,BE,not needed,,not needed,,,
Provide scope,BE,not needed,,unused,,,
Start URL,BE,not needed,,not needed,,,
Provide start URL,BE,not needed,,unused,,,
Browser UI,BE,not needed,,not needed,,,
Provide browser UI,BE,not needed,,unused,,,
Background color,BE,not needed,,not needed,,,
Provide background color (example: #FFF),BE,not needed,,unused,,,
Theme color,BE,not needed,,not needed,,,
Provide theme color(example: #493174),BE,not needed,,unused,,,
Description,BE,not needed,,not needed,,,
Provide description,BE,not needed,,unused,,,
Language,BE,not needed,,not needed,,,
Choose language,BE,not needed,,not needed,,,
Icon 96x96,BE,not needed,,not needed,,,
Add PNG icon 96x96 px,BE,not needed,,not needed,,,
Icon 512x512,BE,not needed,,not needed,,,
Add PNG icon 512x512 px,BE,not needed,,not needed,,,
Icon 196x196 (maskable),BE,not needed,,unused,,,
Add PNG icon 196x196 px (maskable image can be created using https://maskable.app/),BE,not needed,,unused,,,
Form Data,BE,not needed,,not needed,,,
Upload Users,BE,not needed,,not needed,,,
Download XLSX,BE,not needed,,not needed,,,
Download CSV,BE,not needed,,not needed,,,
Filter,BE,not needed,,not needed,,,
No %(name)s have been created yet. One of the following must be created before you can add any %(name)s:,BE,not needed,,not needed,,,
No %(name)s have been created yet.,BE,not needed,,not needed,,,
"Why not <a href=""%(url)s"">add one</a>?",BE,not needed,,not needed,,,
Pagination,BE,not needed,,not needed,,,
Answer options,BE,not needed,,not needed,,,
Next default question,BE,not needed,,not needed,,,
Page break is only allowed with multi-step enabled.,BE,not needed,,not needed,,,
Checkbox type questions must have 2 Answer Options: a on and off,BE,not needed,,unused,,,
This field is required.,FE,translate,django,needs translation (partial),,,Maybe use: You didn't select a choice
"Skipping to {logic.value[""skip_logic""]} not allowed for checkbox and checkboxes.",BE,not needed,,unused,,,
"Skipping to {logic.value[""skip_logic""]} not allowed for checkbox, checkboxes.",BE,not needed,,unused,,,
Checkbox,BE,not needed,,not needed,,,
Checkboxes,BE,not needed,,not needed,,,
Date,BE,not needed,,not needed,,,
Date/time,BE,not needed,,not needed,,,
Drop down,BE,not needed,,not needed,,,
Email,BE,not needed,,not needed,,,
Hidden field,BE,not needed,,unused,,,
Single line text,BE,not needed,,not needed,,,
Multi-line text,BE,not needed,,not needed,,,
Number,BE,not needed,,not needed,,,
Positive number,BE,not needed,,not needed,,,
Radio buttons,BE,not needed,,not needed,,,
URL,BE,not needed,,not needed,,,
Check this to allow users who are NOT logged in to complete surveys.,BE,not needed,,not needed,,,
Check this to allow multiple form submissions for users,BE,not needed,,not needed,,,
Submit button text,BE,not needed,,not needed,,,
required,BE,not needed,,not needed,,,
field type,BE,not needed,,not needed,,,
admin_label,BE,not needed,,not needed,,,
Column header used during CSV export of survey responses.,BE,not needed,,not needed,,,
"This is used to add choices for field type radio, checkbox, checkboxes, and dropdown only. This can be used to skip questions and skipping is only ",BE,not needed,,unused,,,
Inserts a page break which puts the next question onto a new page,BE,not needed,,not needed,,,
Multi-step,BE,not needed,,not needed,,,
"Whether to display the survey questions to the user one at a time, instead of all at once.",BE,not needed,,not needed,,,
General settings for survey,BE,not needed,,not needed,,,
Description at survey page,BE,not needed,,not needed,,,
User,BE,not needed,,not needed,,,
Submission Date,BE,not needed,,not needed,,,
Page URL,BE,not needed,,not needed,,,
survey,,translate,,TODO,ok,Surveys,
surveys,BE,not needed,,not needed,,,
Dropdown,BE,not needed,,not needed,,,
This option allows the users to see the results.,BE,not needed,,not needed,,,
"If not checked, the results will be shown as a total instead of a percentage.",BE,not needed,,not needed,,,
General settings for poll,BE,not needed,,not needed,,,
Description at poll page,BE,not needed,,not needed,,,
poll,,translate,,TODO,ok,Polls,
polls,BE,not needed,,not needed,,,
correct_answer,BE,not needed,,not needed,,,
"The correct answer/choice(s). For checkboxes: a comma separated list of choices. For checkbox: Either ""on"" or ""off"".",BE,not needed,,unused,,,
Feedback,BE,not needed,,not needed,,,
Feedback message for user answer.,BE,not needed,,not needed,,,
General settings for quiz,BE,not needed,,not needed,,,
Description at quiz page,BE,not needed,,not needed,,,
End of survey,BE,not needed,,not needed,,,
Another question,BE,not needed,,not needed,,,
Account Inactive,BE,not needed,,not needed,,,
This account is inactive.,BE,not needed,,not needed,,,
Featured Content,BE,not needed,,not needed,,,
Recommended Articles,BE,not needed,,not needed,,,
Chat,Chatbot,translate,,has translation,,,
Delete Thread,Chatbot,remove,,TODO,,,remove this functionality?
Cancel,Chatbot,translate,,has translation,,,
Send,Chatbot,translate,,TODO,ok,Reply|Submit,
Confirm Delete:,Chatbot,not needed,,not needed,,,
Are you sure you want to delete this thread?,Chatbot,remove,,TODO,,,not urgent
Delete,Chatbot,remove,,TODO,,,not urgent
